Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,800-256-6219,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,8/10/23,6405,2024-01-31 22:07:01 UTC,P,,,12/11/12,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,MD,FALSE
ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,33.94756,-118.153806,1/10/22,7250,2022-02-10 19:42:29 UTC,T,,,6/15/98,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,California State University - Channel Islands,1 University Dr,Located in lot A3,Camarillo,CA,93012,,805-437-8400,E,,Public,24 hours daily; parking pass required or day pass available for purchase,,,,,,5,,,Non-Networked,,GPS,34.16657602,-119.0458547,6/12/23,21559,2024-01-31 22:07:01 UTC,P,,,5/30/02,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free; $6 for parking day pass for non-permit holders,,,,,,,,,,TRUE,,,,,,,,MD,FALSE
ELEC,Home Depot,1551 Froom Ranch Way,,San Luis Obispo,CA,93405,,805-596-0857,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,35.249929,-120.689683,5/3/23,35560,2024-01-31 22:07:01 UTC,P,,,4/15/00,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Baker Electric Building,7100 Euclid Ave,Euclid Avenue and E 71st St,Cleveland,OH,44103,,216-407-7580,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,41.503373,-81.639054,7/12/22,37097,2023-02-14 15:54:11 UTC,P,,,12/15/10,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Town of Dyer - Town Hall,1 Town Square,Route 30/ Hart Street,Dyer,IN,46311,,219-865-6108,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,41.492057,-87.522819,1/10/23,38774,2023-02-14 15:54:11 UTC,LG,,,10/15/10,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,City of Raleigh - Municipal Building,285 W Hargett St,Street pay parking at the curb,Raleigh,NC,27601,,919-996-3030,E,,Public,24 hours daily; metered parking,,,,,,2,,,Non-Networked,,200-8,35.778416,-78.64347,1/10/23,39016,2023-02-14 15:54:11 UTC,LG,,,10/15/10,,,,,J1772,US,,,,Public,,public,,,STREET_PARKING,,,,,,,Free; metered parking,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Ferman Nissan - North Tampa,11001 N Florida Ave,,Tampa,FL,33612,,813-933-6641,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,28.04892,-82.45832,2/12/24,39979,2024-02-12 15:25:05 UTC,P,,,3/15/11,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,South Carolina Technology and Aviation Center,2 Exchange St,,Greenville,SC,29605,,864-277-3152,E,,Public - Credit card at all times,24 hours daily,,,,,,1,,,Non-Networked,,200-9,34.756982,-82.383799,9/14/22,40522,2023-02-14 15:54:11 UTC,P,,,7/15/11,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,RESEARCH_FACILITY,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,City of Auburn Hills - Log Cabin Streetside Parking,3388 Auburn Rd,Just west of/at intersection of Auburn Road  and N Squirrel Road; single unit in front of log cabin along Auburn Road southern roadside.,Auburn Hills,MI,48326,,313-235-7700,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,42.6336,-83.220931,6/12/23,40596,2024-03-07 18:17:06 UTC,T,,,9/28/11,,,,,J1772,US,,,,Public,,public,,,STREET_PARKING,,,,,,,$1 per hour,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
