"","Seg_ID","ID","GEOID","STATEFP","COUNTYFP"
"1","132300_2_20_1",1,"02020","2","20"
"2","132315_2_960_1",2,"02020","2","20"
"3","132320_2_960_1",3,"02020","2","20"
"4","133500_2_20_1",4,"02020","2","20"
"5","133800_2_20_1",5,"02020","2","20"
"6","133899_2_20_1",6,"02020","2","20"
"7","133900_2_20_1",7,"02020","2","20"
"8","134300SB_2_20_1",8,"02020","2","20"
"9","134300_2_20_1",9,"02020","2","20"
"10","134305_2_20_1",10,"02020","2","20"
"11","134341_2_20_1",11,"02020","2","20"
"12","134342_2_20_1",12,"02020","2","20"
"13","134345S1_2_20_1",13,"02020","2","20"
"14","134350_2_20_1",14,"02020","2","20"
"15","134400_2_20_1",15,"02020","2","20"
"16","134431_2_20_1",16,"02020","2","20"
"17","134449_2_20_1",17,"02020","2","20"
"18","134700_2_20_1",18,"02020","2","20"
"19","136800_2_170_1",19,"02020","2","20"
"20","170023_2_170_1",20,"02020","2","20"
"21","170044_2_170_1",21,"02020","2","20"
"22","2281133X000_2_20_1",39,"02020","2","20"
"23","2281216I000_2_20_1",40,"02020","2","20"
"24","I1_2_112_1",87,"02020","2","20"
"25","I1_2_112_2",88,"02020","2","20"
"26","I1_2_170_1",89,"02020","2","20"
"27","I1_2_20_1",91,"02020","2","20"
"28","I1_2_20_2",92,"02020","2","20"
"29","I1_2_20_3",93,"02020","2","20"
"30","I3_2_170_1",107,"02020","2","20"
"31","I3_2_170_4",110,"02020","2","20"
"32","IA3_2_20_1",116,"02020","2","20"
"33","NA_121_2_20_1",117,"02020","2","20"
"34","NA_123_2_20_1",118,"02020","2","20"
"35","NA_124_2_20_1",119,"02020","2","20"
"36","NA_125_2_20_1",120,"02020","2","20"
"37","NA_126_2_20_1",121,"02020","2","20"
"38","NA_127_2_20_1",122,"02020","2","20"
"39","NA_128_2_20_1",123,"02020","2","20"
"40","NA_129_2_20_1",124,"02020","2","20"
"41","NA_130_2_20_1",125,"02020","2","20"
"42","NA_131_2_20_1",126,"02020","2","20"
"43","NA_132_2_20_1",127,"02020","2","20"
"44","NA_133_2_20_1",128,"02020","2","20"
"45","NA_134_2_20_1",129,"02020","2","20"
"46","NA_135_2_20_1",130,"02020","2","20"
"47","NA_137_2_20_1",132,"02020","2","20"
"48","NA_138_2_20_1",133,"02020","2","20"
"49","NA_140_2_20_1",134,"02020","2","20"
"50","NA_141_2_20_1",135,"02020","2","20"
"51","NA_142_2_20_1",136,"02020","2","20"
"52","NA_143_2_20_1",137,"02020","2","20"
"53","NA_144_2_20_1",138,"02020","2","20"
"54","NA_145_2_20_1",139,"02020","2","20"
"55","NA_146_2_20_1",140,"02020","2","20"
"56","NA_147_2_20_1",141,"02020","2","20"
"57","NA_148_2_20_1",142,"02020","2","20"
"58","NA_149_2_20_1",143,"02020","2","20"
"59","NA_150_2_20_1",144,"02020","2","20"
"60","NA_151_2_20_1",145,"02020","2","20"
"61","NA_152_2_20_1",146,"02020","2","20"
"62","NA_153_2_20_1",147,"02020","2","20"
"63","NA_154_2_20_1",148,"02020","2","20"
"64","NA_155_2_20_1",149,"02020","2","20"
"65","NA_174_2_170_1",150,"02020","2","20"
"66","S1_2_112_2",162,"02020","2","20"
"67","S1_2_20_1",164,"02020","2","20"
"68","S9_2_112_1",176,"02020","2","20"
"69","190500_2_261_1",30,"02063","2","63"
"70","190501_2_261_1",31,"02063","2","63"
"71","190525_2_261_1",32,"02063","2","63"
"72","2261010X000_2_261_1",38,"02063","2","63"
"73","S4_2_261_1",171,"02063","2","63"
"74","S4_2_261_2",172,"02063","2","63"
"75","I1_2_261_1",95,"02066","2","66"
"76","I1_2_261_2",96,"02066","2","66"
"77","I1_2_261_3",97,"02066","2","66"
"78","S4_2_261_2",172,"02066","2","66"
"79","S4_2_261_3",173,"02066","2","66"
"80","S4_2_261_4",174,"02066","2","66"
"81","174500_2_290_1",22,"02068","2","68"
"82","174501_2_290_1",23,"02068","2","68"
"83","174502_2_290_1",24,"02068","2","68"
"84","174503_2_290_1",25,"02068","2","68"
"85","I3_2_170_3",109,"02068","2","68"
"86","I3_2_170_4",110,"02068","2","68"
"87","I3_2_290_1",111,"02068","2","68"
"88","I3_2_290_2",112,"02068","2","68"
"89","I3_2_290_3",113,"02068","2","68"
"90","I3_2_68_1",114,"02068","2","68"
"91","174500_2_290_1",22,"02090","2","90"
"92","174501_2_290_1",23,"02090","2","90"
"93","174502_2_290_1",24,"02090","2","90"
"94","174503_2_290_1",25,"02090","2","90"
"95","175700_2_90_1",26,"02090","2","90"
"96","175800_2_90_1",27,"02090","2","90"
"97","175900_2_90_1",28,"02090","2","90"
"98","177200_2_90_1",29,"02090","2","90"
"99","I2_2_90_1",105,"02090","2","90"
"100","I2_2_90_2",106,"02090","2","90"
"101","I3_2_290_1",111,"02090","2","90"
"102","I3_2_290_2",112,"02090","2","90"
"103","I3_2_90_1",115,"02090","2","90"
"104","S2_2_290_1",166,"02090","2","90"
"105","S2_2_90_1",167,"02090","2","90"
"106","2021005X000_2_100_1",33,"02100","2","100"
"107","2021020X000_2_100_1",34,"02100","2","100"
"108","2041002X000_2_230_1",35,"02100","2","100"
"109","2041007X000_2_230_1",36,"02100","2","100"
"110","2041010X000_2_230_1",37,"02100","2","100"
"111","298000_2_100_1",47,"02100","2","100"
"112","298006_2_100_1",48,"02100","2","100"
"113","298150_2_100_1",49,"02100","2","100"
"114","299500_2_231_1",50,"02100","2","100"
"115","299535_2_231_1",51,"02100","2","100"
"116","296000_2_110_1",45,"02105","2","105"
"117","296011_2_110_1",46,"02105","2","105"
"118","4441014X000_2_110_1",71,"02105","2","105"
"119","4441023X000_2_110_1",72,"02105","2","105"
"120","4441029X000_2_110_1",73,"02105","2","105"
"121","4441030X000_2_110_1",74,"02105","2","105"
"122","4441057X000_2_110_1",75,"02105","2","105"
"123","4441075X000_2_110_1",76,"02105","2","105"
"124","4441093X000_2_110_1",77,"02105","2","105"
"125","4441095X000_2_110_1",78,"02105","2","105"
"126","4441121C000_2_110_1",79,"02105","2","105"
"127","4441121I000_2_110_1",80,"02105","2","105"
"128","296000_2_110_1",45,"02110","2","110"
"129","296011_2_110_1",46,"02110","2","110"
"130","4441014X000_2_110_1",71,"02110","2","110"
"131","4441023X000_2_110_1",72,"02110","2","110"
"132","4441029X000_2_110_1",73,"02110","2","110"
"133","4441030X000_2_110_1",74,"02110","2","110"
"134","4441057X000_2_110_1",75,"02110","2","110"
"135","4441075X000_2_110_1",76,"02110","2","110"
"136","4441093X000_2_110_1",77,"02110","2","110"
"137","4441095X000_2_110_1",78,"02110","2","110"
"138","4441121C000_2_110_1",79,"02110","2","110"
"139","4441121I000_2_110_1",80,"02110","2","110"
"140","I1_2_112_1",87,"02122","2","122"
"141","I1_2_112_2",88,"02122","2","122"
"142","NA_45_2_122_1",151,"02122","2","122"
"143","S1_2_112_1",161,"02122","2","122"
"144","S1_2_112_2",162,"02122","2","122"
"145","S1_2_122_1",163,"02122","2","122"
"146","S22_2_112_1",165,"02122","2","122"
"147","S490_2_112_1",168,"02122","2","122"
"148","291400_2_130_1",42,"02130","2","130"
"149","4041003X000_2_130_1",52,"02130","2","130"
"150","4041051X000_2_130_1",53,"02130","2","130"
"151","4041057X000_2_130_1",54,"02130","2","130"
"152","4041061X000_2_130_1",55,"02130","2","130"
"153","4041063X000_2_130_1",56,"02130","2","130"
"154","4041071X000_2_130_1",57,"02130","2","130"
"155","S7_2_130_1",175,"02130","2","130"
"156","5081006X000_2_150_1",81,"02150","2","150"
"157","5081007X000_2_150_1",82,"02150","2","150"
"158","5081009X000_2_150_1",83,"02150","2","150"
"159","5081026X000_2_150_1",84,"02150","2","150"
"160","133500_2_20_1",4,"02170","2","170"
"161","133800_2_20_1",5,"02170","2","170"
"162","133899_2_20_1",6,"02170","2","170"
"163","133900_2_20_1",7,"02170","2","170"
