"","Seg_ID","SIGN1","STFIPS","NEVI","Has_EV","No_Tesla","Traffic","Short_Road","LENGTH","ID","AFC"
"1","132300_2_20_1","132300",2,0,0,0,1028,TRUE,5.13110430610293,1,FALSE
"2","132315_2_960_1","132315",2,0,0,0,836,TRUE,4.26185767599529,2,FALSE
"3","132320_2_960_1","132320",2,0,0,0,790,TRUE,1.73307206892529,3,FALSE
"4","133500_2_20_1","133500",2,0,1,1,16454,TRUE,0.246024028788837,4,FALSE
"5","133800_2_20_1","133800",2,0,1,1,18751,TRUE,1.78402774121727,5,FALSE
"6","133899_2_20_1","133899",2,0,1,1,20143,TRUE,5.79588112074096,6,FALSE
"7","133900_2_20_1","133900",2,0,0,0,24678,TRUE,3.4250502943094,7,FALSE
"8","134300SB_2_20_1","134300SB",2,0,1,1,0,TRUE,0.378370193651291,8,FALSE
"9","134300_2_20_1","134300",2,0,1,1,39458,TRUE,7.17654564849485,9,FALSE
"10","134305_2_20_1","134305",2,0,0,0,0,TRUE,0.220825695859736,10,FALSE
"11","134341_2_20_1","134341",2,0,1,1,23174,TRUE,0.497986253825523,11,FALSE
"12","134342_2_20_1","134342",2,0,1,1,6130,TRUE,0.289822113092916,12,FALSE
"13","134345S1_2_20_1","134345S1",2,0,1,1,0,TRUE,0.26880600092712,13,TRUE
"14","134350_2_20_1","134350",2,0,1,1,0,TRUE,0.210856927857602,14,FALSE
"15","134400_2_20_1","134400",2,0,1,1,13757,TRUE,0.684012985832295,15,FALSE
"16","134431_2_20_1","134431",2,0,1,1,17497,TRUE,0.820026998951273,16,FALSE
"17","134449_2_20_1","134449",2,0,1,1,0,TRUE,1.21687861688748,17,FALSE
"18","134700_2_20_1","134700",2,0,0,0,11007,TRUE,0.440975830544459,18,TRUE
"19","136800_2_170_1","136800",2,0,1,1,11360,TRUE,9.93212152680605,19,FALSE
"20","170023_2_170_1","170023",2,0,1,1,8630,TRUE,0.286993181751037,20,TRUE
"21","170044_2_170_1","170044",2,0,1,1,9212,FALSE,10.1561371503588,21,FALSE
"22","174500_2_290_1","174500",2,0,0,0,150,TRUE,0.372990959963074,22,TRUE
"23","174501_2_290_1","174501",2,0,0,0,155,TRUE,0.487654827870474,23,TRUE
"24","174502_2_290_1","174502",2,0,0,0,117,TRUE,0.107010158057093,24,TRUE
"25","174503_2_290_1","174503",2,0,0,0,0,TRUE,0.162009186728541,25,FALSE
"26","175700_2_90_1","175700",2,0,0,0,20494,TRUE,6.04316679863545,26,FALSE
"27","175800_2_90_1","175800",2,0,0,0,17409,TRUE,1.73459775210909,27,FALSE
"28","175900_2_90_1","175900",2,0,0,0,6398,TRUE,2.23274308781228,28,FALSE
"29","177200_2_90_1","177200",2,0,1,1,20470,TRUE,4.1860800008036,29,FALSE
"30","190500_2_261_1","190500",2,0,0,0,1278,TRUE,0.289016155952217,30,FALSE
"31","190501_2_261_1","190501",2,0,0,0,527,TRUE,0.129494310370981,31,FALSE
"32","190525_2_261_1","190525",2,0,0,0,3426,TRUE,0.338759601861079,32,FALSE
"33","2021005X000_2_100_1","2021005X000",2,0,0,0,43,TRUE,0.0669655403497736,33,FALSE
"34","2021020X000_2_100_1","2021020X000",2,0,0,0,516.75,TRUE,0.793037988826218,34,FALSE
"35","2041002X000_2_230_1","2041002X000",2,0,1,1,946,TRUE,0.237037628412656,35,FALSE
"36","2041007X000_2_230_1","2041007X000",2,0,1,1,381,TRUE,0.144132082453682,36,FALSE
