ID_match,ID,Seg_ID,Seg_ID_match
1,2,132315_2_960_1,132300_2_20_1
1,92,I1_2_20_2,132300_2_20_1
2,1,132300_2_20_1,132315_2_960_1
2,3,132320_2_960_1,132315_2_960_1
3,2,132315_2_960_1,132320_2_960_1
4,9,134300_2_20_1,133500_2_20_1
4,40,2281216I000_2_20_1,133500_2_20_1
4,41,2281251X000_2_20_1,133500_2_20_1
5,9,134300_2_20_1,133800_2_20_1
5,10,134305_2_20_1,133800_2_20_1
5,91,I1_2_20_1,133800_2_20_1
5,119,NA_124_2_20_1,133800_2_20_1
5,120,NA_125_2_20_1,133800_2_20_1
5,121,NA_126_2_20_1,133800_2_20_1
5,122,NA_127_2_20_1,133800_2_20_1
5,123,NA_128_2_20_1,133800_2_20_1
5,124,NA_129_2_20_1,133800_2_20_1
5,125,NA_130_2_20_1,133800_2_20_1
5,126,NA_131_2_20_1,133800_2_20_1
5,127,NA_132_2_20_1,133800_2_20_1
5,128,NA_133_2_20_1,133800_2_20_1
5,129,NA_134_2_20_1,133800_2_20_1
5,130,NA_135_2_20_1,133800_2_20_1
5,131,NA_136_2_20_1,133800_2_20_1
5,132,NA_137_2_20_1,133800_2_20_1
5,133,NA_138_2_20_1,133800_2_20_1
5,134,NA_140_2_20_1,133800_2_20_1
5,135,NA_141_2_20_1,133800_2_20_1
5,136,NA_142_2_20_1,133800_2_20_1
5,137,NA_143_2_20_1,133800_2_20_1
5,138,NA_144_2_20_1,133800_2_20_1
5,139,NA_145_2_20_1,133800_2_20_1
5,140,NA_146_2_20_1,133800_2_20_1
5,141,NA_147_2_20_1,133800_2_20_1
5,142,NA_148_2_20_1,133800_2_20_1
5,143,NA_149_2_20_1,133800_2_20_1
5,144,NA_150_2_20_1,133800_2_20_1
5,145,NA_151_2_20_1,133800_2_20_1
5,146,NA_152_2_20_1,133800_2_20_1
5,147,NA_153_2_20_1,133800_2_20_1
5,148,NA_154_2_20_1,133800_2_20_1
6,7,133900_2_20_1,133899_2_20_1
6,9,134300_2_20_1,133899_2_20_1
6,91,I1_2_20_1,133899_2_20_1
6,92,I1_2_20_2,133899_2_20_1
6,93,I1_2_20_3,133899_2_20_1
7,6,133899_2_20_1,133900_2_20_1
7,91,I1_2_20_1,133900_2_20_1
7,93,I1_2_20_3,133900_2_20_1
8,9,134300_2_20_1,134300SB_2_20_1
8,15,134400_2_20_1,134300SB_2_20_1
8,16,134431_2_20_1,134300SB_2_20_1
9,4,133500_2_20_1,134300_2_20_1
9,5,133800_2_20_1,134300_2_20_1
9,6,133899_2_20_1,134300_2_20_1
9,8,134300SB_2_20_1,134300_2_20_1
9,15,134400_2_20_1,134300_2_20_1
9,16,134431_2_20_1,134300_2_20_1
9,40,2281216I000_2_20_1,134300_2_20_1
9,41,2281251X000_2_20_1,134300_2_20_1
9,91,I1_2_20_1,134300_2_20_1
9,92,I1_2_20_2,134300_2_20_1
9,93,I1_2_20_3,134300_2_20_1
10,5,133800_2_20_1,134305_2_20_1
10,119,NA_124_2_20_1,134305_2_20_1
10,120,NA_125_2_20_1,134305_2_20_1
10,121,NA_126_2_20_1,134305_2_20_1
10,122,NA_127_2_20_1,134305_2_20_1
10,123,NA_128_2_20_1,134305_2_20_1
10,124,NA_129_2_20_1,134305_2_20_1
10,125,NA_130_2_20_1,134305_2_20_1
10,126,NA_131_2_20_1,134305_2_20_1
10,127,NA_132_2_20_1,134305_2_20_1
10,128,NA_133_2_20_1,134305_2_20_1
10,129,NA_134_2_20_1,134305_2_20_1
10,130,NA_135_2_20_1,134305_2_20_1
10,131,NA_136_2_20_1,134305_2_20_1
10,132,NA_137_2_20_1,134305_2_20_1
10,133,NA_138_2_20_1,134305_2_20_1
10,134,NA_140_2_20_1,134305_2_20_1
10,135,NA_141_2_20_1,134305_2_20_1
10,136,NA_142_2_20_1,134305_2_20_1
10,137,NA_143_2_20_1,134305_2_20_1
10,138,NA_144_2_20_1,134305_2_20_1
10,139,NA_145_2_20_1,134305_2_20_1
10,140,NA_146_2_20_1,134305_2_20_1
10,141,NA_147_2_20_1,134305_2_20_1
10,142,NA_148_2_20_1,134305_2_20_1
10,143,NA_149_2_20_1,134305_2_20_1
10,144,NA_150_2_20_1,134305_2_20_1
10,145,NA_151_2_20_1,134305_2_20_1
10,146,NA_152_2_20_1,134305_2_20_1
10,147,NA_153_2_20_1,134305_2_20_1
10,148,NA_154_2_20_1,134305_2_20_1
11,12,134342_2_20_1,134341_2_20_1
11,14,134350_2_20_1,134341_2_20_1
11,16,134431_2_20_1,134341_2_20_1
11,39,2281133X000_2_20_1,134341_2_20_1
11,91,I1_2_20_1,134341_2_20_1
11,92,I1_2_20_2,134341_2_20_1
11,164,S1_2_20_1,134341_2_20_1
12,11,134341_2_20_1,134342_2_20_1
12,14,134350_2_20_1,134342_2_20_1
12,39,2281133X000_2_20_1,134342_2_20_1
