"","Seg_ID","ID","GEOID","STATEFP","COUNTYFP"
"1","1370_15_1_1",3,"15001","15","1"
"2","5_15_1_1",7,"15001","15","1"
"3","6_15_1_1",9,"15001","15","1"
"4","7_15_1_1",28,"15001","15","1"
"5","8_15_1_1",31,"15001","15","1"
"6","S11_15_1_1",43,"15001","15","1"
"7","S19_15_1_1",44,"15001","15","1"
"8","S19_15_1_2",45,"15001","15","1"
"9","S270_15_1_1",46,"15001","15","1"
"10","S250_15_AFC_4",81,"15001","15","1"
"11","S190_15_AFC_7",84,"15001","15","1"
"12","S200_15_AFC_8",85,"15001","15","1"
"13","S130_15_AFC_10",87,"15001","15","1"
"14","0_15_3_1",1,"15003","15","3"
"15","6001_15_3_1",8,"15003","15","3"
"16","7101_15_3_1",10,"15003","15","3"
"17","7241_15_3_1",11,"15003","15","3"
"18","7310_15_3_1",12,"15003","15","3"
"19","7345_15_3_1",13,"15003","15","3"
"20","7402_15_3_1",14,"15003","15","3"
"21","7414_15_3_1",15,"15003","15","3"
"22","7502_15_3_1",16,"15003","15","3"
"23","7503_15_3_1",17,"15003","15","3"
"24","7504_15_3_1",18,"15003","15","3"
"25","7505_15_3_1",19,"15003","15","3"
"26","7511_15_3_1",20,"15003","15","3"
"27","7512_15_3_1",21,"15003","15","3"
"28","7516_15_3_1",22,"15003","15","3"
"29","7526_15_3_1",23,"15003","15","3"
"30","7601_15_3_1",24,"15003","15","3"
"31","7614_15_3_1",25,"15003","15","3"
"32","7615_15_3_1",26,"15003","15","3"
"33","7801_15_3_1",27,"15003","15","3"
"34","8300_15_3_1",29,"15003","15","3"
"35","8930_15_3_1",30,"15003","15","3"
"36","H-1_EB_16AA_15_3_1",32,"15003","15","3"
"37","H-1_EB_16_15_3_1",33,"15003","15","3"
"38","H-1_WB_16AA_15_3_1",34,"15003","15","3"
"39","HI12P4_15_3_1",35,"15003","15","3"
"40","HI12P5_15_3_1",36,"15003","15","3"
"41","IH1_15_3_1",39,"15003","15","3"
"42","IH201_15_3_1",40,"15003","15","3"
"43","IH2_15_3_1",41,"15003","15","3"
"44","IH3_15_3_1",42,"15003","15","3"
"45","S61_15_3_1",60,"15003","15","3"
"46","S63_15_3_1",61,"15003","15","3"
"47","S64_15_3_1",62,"15003","15","3"
"48","S65_15_3_1",63,"15003","15","3"
"49","S72_15_3_1",64,"15003","15","3"
"50","S750_15_3_1",65,"15003","15","3"
"51","S76_15_3_1",66,"15003","15","3"
"52","S78_15_3_1",67,"15003","15","3"
"53","S80_15_3_1",68,"15003","15","3"
"54","S83_15_3_1",69,"15003","15","3"
"55","S901_15_3_1",70,"15003","15","3"
"56","S92_15_3_1",71,"15003","15","3"
"57","S930_15_3_1",72,"15003","15","3"
"58","S93_15_3_1",73,"15003","15","3"
"59","S95_15_3_1",74,"15003","15","3"
"60","S98_15_3_1",75,"15003","15","3"
"61","S99_15_3_1",76,"15003","15","3"
"62","Salt Lake Blvd,_15_3_1",77,"15003","15","3"
"63","3500_15_9_1",4,"15005","15","5"
"64","3_15_9_1",5,"15005","15","5"
"65","4_15_9_1",6,"15005","15","5"
"66","S30_15_9_1",47,"15005","15","5"
"67","S311_15_9_1",48,"15005","15","5"
"68","S31_15_9_1",49,"15005","15","5"
"69","S32_15_9_1",50,"15005","15","5"
"70","S36A_15_9_1",51,"15005","15","5"
"71","S36_15_9_1",52,"15005","15","5"
"72","S37_15_9_1",53,"15005","15","5"
"73","S380_15_9_1",54,"15005","15","5"
"74","S72_15_3_1",64,"15005","15","5"
"75","S340_15_AFC_1",78,"15005","15","5"
"76","S390_15_AFC_2",79,"15005","15","5"
"77","S450_15_AFC_5",82,"15005","15","5"
"78","S440_15_AFC_9",86,"15005","15","5"
"79","0_15_7_1",2,"15007","15","7"
"80","HI9A2_15_7_1",37,"15007","15","7"
"81","HI9A_15_7_1",38,"15007","15","7"
"82","S50_15_7_1",55,"15007","15","7"
"83","S51_15_7_1",56,"15007","15","7"
"84","S56_15_7_1",57,"15007","15","7"
"85","S570_15_7_1",58,"15007","15","7"
"86","S58_15_7_1",59,"15007","15","7"
"87","S560_15_AFC_3",80,"15007","15","7"
"88","3500_15_9_1",4,"15009","15","9"
"89","3_15_9_1",5,"15009","15","9"
"90","4_15_9_1",6,"15009","15","9"
"91","S30_15_9_1",47,"15009","15","9"
"92","S311_15_9_1",48,"15009","15","9"
"93","S31_15_9_1",49,"15009","15","9"
"94","S32_15_9_1",50,"15009","15","9"
"95","S36A_15_9_1",51,"15009","15","9"
"96","S36_15_9_1",52,"15009","15","9"
"97","S37_15_9_1",53,"15009","15","9"
"98","S380_15_9_1",54,"15009","15","9"
"99","S340_15_AFC_1",78,"15009","15","9"
"100","S390_15_AFC_2",79,"15009","15","9"
"101","S450_15_AFC_5",82,"15009","15","9"
"102","S360_15_AFC_6",83,"15009","15","9"
"103","S440_15_AFC_9",86,"15009","15","9"
