"","Seg_ID","SIGN1","STFIPS","NEVI","Has_EV","No_Tesla","Traffic","Short_Road","LENGTH","ID","AFC"
"1","0_15_3_1","0",15,0,0,0,0,TRUE,0.854551667325629,1,FALSE
"2","0_15_7_1","0",15,0,1,1,0,TRUE,2.22082465419019,2,FALSE
"3","1370_15_1_1","1370",15,0,1,1,0,TRUE,0.491101567642586,3,FALSE
"4","3500_15_9_1","3500",15,0,1,1,0,TRUE,1.10509940207533,4,TRUE
"5","3_15_9_1","3",15,0,1,1,0,TRUE,0.752889110146218,5,FALSE
"6","4_15_9_1","4",15,0,1,1,0,TRUE,0.467630239682306,6,FALSE
"7","5_15_1_1","5",15,0,1,1,0,TRUE,2.57125553433088,7,FALSE
"8","6001_15_3_1","6001",15,0,1,1,0,TRUE,0.153578511266656,8,TRUE
"9","6_15_1_1","6",15,0,1,1,0,TRUE,0.131978493133493,9,FALSE
"10","7101_15_3_1","7101",15,1,1,1,0,TRUE,3.03932450004932,10,FALSE
"11","7241_15_3_1","7241",15,0,1,1,0,TRUE,0.82856323002954,11,TRUE
"12","7310_15_3_1","7310",15,0,1,1,0,TRUE,1.03897983829582,12,FALSE
"13","7345_15_3_1","7345",15,0,0,0,0,TRUE,0.547465488923905,13,FALSE
"14","7402_15_3_1","7402",15,0,1,1,0,TRUE,5.24475344616484,14,FALSE
"15","7414_15_3_1","7414",15,0,1,1,0,TRUE,0.718092804560091,15,FALSE
"16","7502_15_3_1","7502",15,0,1,1,0,TRUE,3.35651151554929,16,FALSE
"17","7503_15_3_1","7503",15,0,1,1,0,TRUE,3.16692805825175,17,FALSE
"18","7504_15_3_1","7504",15,0,1,1,0,TRUE,0.423205535715468,18,FALSE
"19","7505_15_3_1","7505",15,0,1,1,0,TRUE,0.621847033284274,19,FALSE
"20","7511_15_3_1","7511",15,0,1,1,0,TRUE,0.980478719034783,20,FALSE
"21","7512_15_3_1","7512",15,0,1,1,0,TRUE,0.87451219699784,21,FALSE
"22","7516_15_3_1","7516",15,0,1,1,0,TRUE,0.608747058975605,22,FALSE
"23","7526_15_3_1","7526",15,0,1,1,0,TRUE,0.616508586841339,23,TRUE
"24","7601_15_3_1","7601",15,0,1,1,0,TRUE,0.439185767455569,24,TRUE
"25","7614_15_3_1","7614",15,0,1,1,0,TRUE,0.470619387022932,25,TRUE
"26","7615_15_3_1","7615",15,0,1,1,0,TRUE,0.486888990804524,26,TRUE
"27","7801_15_3_1","7801",15,0,1,1,0,TRUE,0.430758711778895,27,TRUE
"28","7_15_1_1","7",15,0,0,0,0,TRUE,0.199853803426855,28,TRUE
"29","8300_15_3_1","8300",15,0,1,1,10105.5,TRUE,1.8629453233424,29,TRUE
"30","8930_15_3_1","8930",15,0,1,1,4040,TRUE,2.44040421163402,30,FALSE
"31","8_15_1_1","8",15,0,0,0,0,TRUE,1.4719639736548,31,FALSE
