ID_match,ID,Seg_ID,Seg_ID_match
1,35,HI12P4_15_3_1,0_15_3_1
1,36,HI12P5_15_3_1,0_15_3_1
1,74,S95_15_3_1,0_15_3_1
2,37,HI9A2_15_7_1,0_15_7_1
2,38,HI9A_15_7_1,0_15_7_1
2,56,S51_15_7_1,0_15_7_1
2,58,S570_15_7_1,0_15_7_1
2,59,S58_15_7_1,0_15_7_1
3,9,6_15_1_1,1370_15_1_1
3,44,S19_15_1_1,1370_15_1_1
4,6,4_15_9_1,3500_15_9_1
4,48,S311_15_9_1,3500_15_9_1
4,50,S32_15_9_1,3500_15_9_1
4,52,S36_15_9_1,3500_15_9_1
4,54,S380_15_9_1,3500_15_9_1
4,78,S340_15_AFC_1,3500_15_9_1
5,51,S36A_15_9_1,3_15_9_1
5,52,S36_15_9_1,3_15_9_1
5,54,S380_15_9_1,3_15_9_1
6,4,3500_15_9_1,4_15_9_1
6,50,S32_15_9_1,4_15_9_1
6,52,S36_15_9_1,4_15_9_1
7,43,S11_15_1_1,5_15_1_1
8,60,S61_15_3_1,6001_15_3_1
9,3,1370_15_1_1,6_15_1_1
9,44,S19_15_1_1,6_15_1_1
10,39,IH1_15_3_1,7101_15_3_1
10,41,IH2_15_3_1,7101_15_3_1
10,66,S76_15_3_1,7101_15_3_1
10,76,S99_15_3_1,7101_15_3_1
11,39,IH1_15_3_1,7241_15_3_1
11,40,IH201_15_3_1,7241_15_3_1
11,42,IH3_15_3_1,7241_15_3_1
11,67,S78_15_3_1,7241_15_3_1
11,76,S99_15_3_1,7241_15_3_1
11,77,"Salt Lake Blvd,_15_3_1",7241_15_3_1
12,13,7345_15_3_1,7310_15_3_1
12,32,H-1_EB_16AA_15_3_1,7310_15_3_1
12,39,IH1_15_3_1,7310_15_3_1
12,40,IH201_15_3_1,7310_15_3_1
12,71,S92_15_3_1,7310_15_3_1
13,12,7310_15_3_1,7345_15_3_1
13,40,IH201_15_3_1,7345_15_3_1
14,16,7502_15_3_1,7402_15_3_1
14,17,7503_15_3_1,7402_15_3_1
14,18,7504_15_3_1,7402_15_3_1
14,19,7505_15_3_1,7402_15_3_1
14,20,7511_15_3_1,7402_15_3_1
14,21,7512_15_3_1,7402_15_3_1
14,22,7516_15_3_1,7402_15_3_1
14,23,7526_15_3_1,7402_15_3_1
14,24,7601_15_3_1,7402_15_3_1
