county,Baseline.coverage,Spillover.State.coverage,NEVI.coverage,AFC.coverage,NEVI Increase
72001,1,0,1,1,0
72003,1,0,1,1,0
72005,1,0,1,1,0
72007,1,0,1,1,0
72009,1,0,1,1,0
72011,1,0,1,1,0
72013,1,0,1,1,0
72015,1,0,1,1,0
72017,1,0,1,1,0
72019,1,0,1,1,0
72021,1,0,1,1,0
72023,1,0,1,1,0
72025,1,0,1,1,0
72027,1,0,1,1,0
72031,1,0,1,1,0
72033,1,0,1,1,0
72035,1,0,1,1,0
72039,1,0,1,1,0
72041,1,0,1,1,0
72043,1,0,1,1,0
72045,1,0,1,1,0
72047,1,0,1,1,0
72051,1,0,1,1,0
72054,1,0,1,1,0
72055,1,0,1,1,0
72057,1,0,1,1,0
72059,1,0,1,1,0
72061,1,0,1,1,0
72063,1,0,1,1,0
72065,1,0,1,1,0
72067,1,0,1,1,0
72071,1,0,1,1,0
72073,1,0,1,1,0
72075,1,0,1,1,0
72077,1,0,1,1,0
72079,1,0,1,1,0
72081,1,0,1,1,0
72083,1,0,1,1,0
72091,1,0,1,1,0
72093,1,0,1,1,0
72097,1,0,1,1,0
72099,1,0,1,1,0
72101,1,0,1,1,0
72105,1,0,1,1,0
72107,1,0,1,1,0
72109,1,0,1,1,0
72111,1,0,1,1,0
72113,1,0,1,1,0
72115,1,0,1,1,0
72117,1,0,1,1,0
72121,1,0,1,1,0
72123,1,0,1,1,0
72125,1,0,1,1,0
72127,1,0,1,1,0
72129,1,0,1,1,0
72131,1,0,1,1,0
72133,1,0,1,1,0
72135,1,0,1,1,0
72137,1,0,1,1,0
72139,1,0,1,1,0
72141,1,0,1,1,0
72143,1,0,1,1,0
72145,1,0,1,1,0
72149,1,0,1,1,0
72153,1,0,1,1,0
72085,0.985361718,0,0.985361718,0.985361718,0
72095,0.985361718,0,0.985361718,0.985361718,0
72151,0.985361718,0,0.985361718,0.985361718,0
72029,0.984832065,0,0.984832065,0.984832065,0
72087,0.984832065,0,0.984832065,0.984832065,0
72037,0.970193782,0,0.970193782,0.970193782,0
72053,0.970193782,0,0.970193782,0.970193782,0
72069,0.970193782,0,0.970193782,0.970193782,0
72089,0.970193782,0,0.970193782,0.970193782,0
72103,0.970193782,0,0.970193782,0.970193782,0
72119,0.970193782,0,0.970193782,0.970193782,0
6053,0.961154787,0.101443903,0.857744989,0.992165652,0.134420663
6087,0.975981129,0.116466776,0.855862187,0.994316458,0.13845427
