"","GEOID","STATEFP","STATENS","AFFGEOID","STUSPS","NAME","LSAD","ALAND","AWATER","Baseline Coverage","NEVI Coverage","AFC Coverage","State Spillover","NEVI Increase"
"1","01","01","01779775","0400000US01","AL","Alabama","00",131174048583,4593327154,0.0747602187114615,0.0113739886069191,0.903497469705888,0.0603411621769684,0.892123481098969
"2","02","02","01785533","0400000US02","AK","Alaska","00",1478839695958,245481577452,0.401131396687134,0.339060731199739,0.634147079937344,0,0.295086348737605
"3","04","04","01779777","0400000US04","AZ","Arizona","00",294198551143,1027337603,0.0771256491570905,0.0515097549587085,0.924975624455034,0.0372893650202485,0.873465869496325
"4","05","05","00068085","0400000US05","AR","Arkansas","00",134768872727,2962859592,0.0189693447307374,0.00595965915447868,0.827487439291194,0.011400290507808,0.821527780136715
"5","06","06","01779778","0400000US06","CA","California","00",403503931312,20463871877,0.680303404276005,0.496101227414696,0.975920936682563,0.177666685105941,0.479819709267867
"6","08","08","01779779","0400000US08","CO","Colorado","00",268422891711,1181621593,0.0563935689237405,0.0295082491629309,0.886726297088262,0.0217394501829561,0.857218047925331
"7","09","09","01779780","0400000US09","CT","Connecticut","00",12542497068,1815617571,0.45062656395422,0.151833994463728,0.932922606179513,0.430045074016347,0.781088611715785
"8","10","10","01779781","0400000US10","DE","Delaware","00",5045925646,1399985648,0.38482933153959,0.14633070354576,0.925149596918062,0.378555119967342,0.778818893372301
"9","11","11","01702382","0400000US11","DC","District of Columbia","00",158340391,18687198,0.395280469358307,0.0603805835479037,0.921612818853763,0.395280469358307,0.861232235305859
"10","12","12","00294478","0400000US12","FL","Florida","00",138949136250,31361101223,0.114485542550398,0.0384445768584679,0.911420313336001,0.00981022376691458,0.872975736477534
"11","13","13","01705317","0400000US13","GA","Georgia","00",149482048342,4422936154,0.0927302673015344,0.0289389287547418,0.911652197885358,0.0558083359829539,0.882713269130617
"12","15","15","01779782","0400000US15","HI","Hawaii","00",16633990195,11777809026,0.622543646509456,0.622543646509456,0.622543646509456,0,0
"13","16","16","01779783","0400000US16","ID","Idaho","00",214049787659,2391722557,0.0595324955009715,0.00800366646874817,0.951715845289582,0.0525647962374007,0.943712178820834
"14","17","17","01779784","0400000US17","IL","Illinois","00",143780567633,6214824948,0.167437397346085,0.0299136130835084,0.90075920472624,0.136269124571403,0.870845591642731
"15","18","18","00448508","0400000US18","IN","Indiana","00",92789302676,1538002829,0.167407090825317,0.0143442665375785,0.909365590899566,0.157033362711177,0.895021324361987
"16","19","19","01779785","0400000US19","IA","Iowa","00",144661267977,1084180812,0.0578557047123126,0.00634260104471801,0.889646093807414,0.0494916203603264,0.883303492762696
"17","20","20","00481813","0400000US20","KS","Kansas","00",211755344060,1344141205,0.0228686767575107,0.0102609672152998,0.873953715754781,0.0150541712082513,0.863692748539481
"18","21","21","01779786","0400000US21","KY","Kentucky","00",102279490672,2375337755,0.0509440002548546,0.010404103015645,0.909849862754436,0.0392978970660851,0.899445759738791
"19","22","22","01629543","0400000US22","LA","Louisiana","00",111897594374,23753621895,0.0267391758226236,0.00970893710963455,0.888174936027405,0.0165427468962144,0.878465998917771
"20","23","23","01779787","0400000US23","ME","Maine","00",79887426037,11746549764,0.540914711557421,0.0157132373332962,0.944644935327811,0.53477666105359,0.928931697994515
"21","24","24","01714934","0400000US24","MD","Maryland","00",25151100280,6979966958,0.372619212423592,0.0792425564759544,0.9217553379759,0.3354403711769,0.842512781499946
"22","25","25","00606926","0400000US25","MA","Massachusetts","00",20205125364,7129925486,0.490921601326355,0.0927779508913111,0.938149193874076,0.444916284253889,0.845371242982765
"23","26","26","01779789","0400000US26","MI","Michigan","00",146600952990,103885855702,0.347401232702629,0.0252897203421974,0.906274585363782,0.30468947199594,0.880984865021584
"24","27","27","00662849","0400000US27","MN","Minnesota","00",206228939448,18945217189,0.039547357663905,0.0190384064906495,0.886737073586984,0.00689958872189103,0.867698667096334
"25","28","28","01779790","0400000US28","MS","Mississippi","00",121533519481,3926919758,0.0289762677899309,0.00710270702036128,0.886414006777513,0.0239692610079493,0.879311299757153
"26","29","29","01779791","0400000US29","MO","Missouri","00",178050802184,2489425460,0.025879933342825,0.0122115863340876,0.89055589745081,0.0101568043888466,0.878344311116723
"27","30","30","00767982","0400000US30","MT","Montana","00",376962738765,3869208832,0.00579557845062217,0.00301704853809581,0.91415604729329,0.00219176255654735,0.911138998755194
"28","31","31","01779792","0400000US31","NE","Nebraska","00",198956658395,1371829134,0.0126541441941498,0.00845531036042186,0.854072336623525,0.00410444334231628,0.845617026263103
"29","32","32","01779793","0400000US32","NV","Nevada","00",284329506470,2047206072,0.624389448602312,0.466157927097481,0.962429380721665,0.57482736993571,0.496271453624184
"30","33","33","01779794","0400000US33","NH","New Hampshire","00",23189413166,1026675248,0.50065757789216,0.0578041512700419,0.938731113531685,0.491474419753435,0.880926962261643
"31","34","34","01779795","0400000US34","NJ","New Jersey","00",19047825980,3544860246,0.410119063350345,0.148171002428241,0.927250490092153,0.359014638786746,0.779079487663912
