"","GEOID","STATEFP","STATENS","AFFGEOID","STUSPS","NAME","LSAD","ALAND","AWATER","Baseline Coverage","NEVI Coverage","AFC Coverage","State Spillover","NEVI Increase"
"1","01","01","01779775","0400000US01","AL","Alabama","00",131174048583,4593327154,0.0246584148912876,0.0246461899259224,0.893226221694655,0.00517824023497871,0.868580031768733
"2","02","02","01785533","0400000US02","AK","Alaska","00",1478839695958,245481577452,0.394185340677708,0.394185340677708,0.623727148586799,0,0.22954180790909
"3","04","04","01779777","0400000US04","AZ","Arizona","00",294198551143,1027337603,0.0836951045810346,0.0764702620854749,0.953440275052309,0.00105745123468702,0.876970012966834
"4","05","05","00068085","0400000US05","AR","Arkansas","00",134768872727,2962859592,0.0283520085661823,0.0283520085661823,0.79972584342266,0.00395041595850622,0.771373834856478
"5","06","06","01779778","0400000US06","CA","California","00",403503931312,20463871877,0.240393746435469,0.23321173147463,0.97468933888464,0.00019694517546755,0.74147760741001
"6","08","08","01779779","0400000US08","CO","Colorado","00",268422891711,1181621593,0.0812048611627125,0.0812048611627125,0.84331302590612,0.00332578108182328,0.762108164743407
"7","09","09","01779780","0400000US09","CT","Connecticut","00",12542497068,1815617571,0.108891767986302,0.107218370620654,0.950374190454923,0.0837908869171254,0.843155819834268
"8","10","10","01779781","0400000US10","DE","Delaware","00",5045925646,1399985648,0.0795143141039685,0.0753254532392481,0.941722864130321,0.0691440592906058,0.866397410891073
"9","11","11","01702382","0400000US11","DC","District of Columbia","00",158340391,18687198,0.074492805918862,0.074492805918862,0.938044025690274,0.074492805918862,0.863551219771411
"10","12","12","00294478","0400000US12","FL","Florida","00",138949136250,31361101223,0.0978447791918658,0.0970455392818673,0.918062626843895,0.000911154646870641,0.821017087562028
"11","13","13","01705317","0400000US13","GA","Georgia","00",149482048342,4422936154,0.0439487766479867,0.043320606617291,0.909389440964873,0.00524176596067507,0.866068834347581
"12","15","15","01779782","0400000US15","HI","Hawaii","00",16633990195,11777809026,0.548041651082664,0.548041651082664,0.548041651082664,0,0
"13","16","16","01779783","0400000US16","ID","Idaho","00",214049787659,2391722557,0.0308305876444381,0.0307680893150977,0.937015326177294,0.00991846346791294,0.906247236862196
