NAME,Baseline Coverage,Baseline Coverage,Baseline Coverage,NEVI Coverage,NEVI Coverage,NEVI Coverage,AFC Coverage,AFC Coverage,AFC Coverage
Alabama,0.28,0.20,0.14,0.04,0.03,0.02,0.88,0.89,0.90
Alaska,0.46,0.43,0.42,0.40,0.36,0.36,0.70,0.67,0.66
Arizona,0.19,0.16,0.13,0.15,0.12,0.10,0.98,0.98,0.98
Arkansas,0.08,0.05,0.04,0.02,0.02,0.01,0.78,0.79,0.80
California,0.92,0.90,0.84,0.82,0.79,0.71,0.99,0.99,0.99
Colorado,0.62,0.42,0.24,0.35,0.22,0.13,0.89,0.88,0.88
Connecticut,0.92,0.87,0.77,0.39,0.34,0.27,0.98,0.96,0.95
Delaware,0.77,0.68,0.62,0.35,0.28,0.24,0.96,0.95,0.94
District of Columbia,0.75,0.68,0.58,0.13,0.11,0.09,0.95,0.95,0.94
Florida,0.68,0.50,0.34,0.23,0.17,0.11,0.95,0.93,0.93
Georgia,0.33,0.24,0.17,0.10,0.07,0.05,0.90,0.90,0.91
Idaho,0.16,0.11,0.08,0.05,0.03,0.02,0.95,0.95,0.96
Illinois,0.28,0.22,0.19,0.11,0.08,0.06,0.88,0.87,0.87
Indiana,0.24,0.19,0.19,0.05,0.03,0.02,0.89,0.89,0.90
Iowa,0.27,0.19,0.15,0.03,0.02,0.02,0.83,0.85,0.86
Kansas,0.12,0.07,0.05,0.06,0.03,0.02,0.79,0.82,0.84
Kentucky,0.13,0.10,0.08,0.03,0.02,0.02,0.90,0.90,0.90
Louisiana,0.13,0.08,0.06,0.05,0.03,0.02,0.84,0.85,0.86
Maine,0.95,0.94,0.90,0.05,0.04,0.03,0.98,0.98,0.98
Maryland,0.71,0.65,0.56,0.17,0.14,0.12,0.95,0.95,0.94
Massachusetts,0.99,0.92,0.85,0.26,0.21,0.18,0.98,0.97,0.95
Michigan,0.36,0.42,0.43,0.09,0.05,0.04,0.91,0.91,0.91
Minnesota,0.26,0.17,0.12,0.12,0.08,0.06,0.82,0.84,0.85
Mississippi,0.13,0.08,0.05,0.03,0.02,0.01,0.85,0.86,0.87
Missouri,0.11,0.07,0.05,0.05,0.03,0.02,0.83,0.86,0.87
Montana,0.06,0.03,0.02,0.04,0.02,0.01,0.88,0.90,0.91
Nebraska,0.08,0.05,0.03,0.05,0.03,0.02,0.76,0.82,0.82
Nevada,0.83,0.79,0.72,0.75,0.71,0.63,0.99,0.99,0.98
New Hampshire,0.99,0.95,0.87,0.17,0.14,0.12,0.98,0.98,0.93
New Jersey,0.86,0.77,0.68,0.37,0.29,0.25,0.97,0.96,0.95
New Mexico,0.28,0.25,0.15,0.06,0.04,0.02,0.89,0.89,0.88
New York,0.91,0.78,0.70,0.21,0.17,0.14,0.97,0.95,0.95
North Carolina,0.30,0.21,0.16,0.07,0.04,0.03,0.92,0.93,0.94
North Dakota,0.33,0.21,0.12,0.04,0.02,0.01,0.55,0.60,0.67
Ohio,0.46,0.42,0.39,0.05,0.04,0.03,0.93,0.92,0.92
Oklahoma,0.42,0.31,0.23,0.06,0.04,0.03,0.80,0.82,0.83
Oregon,0.76,0.71,0.83,0.30,0.20,0.15,0.97,0.98,0.98
Pennsylvania,0.76,0.66,0.58,0.25,0.20,0.17,0.95,0.95,0.94
Rhode Island,0.98,0.90,0.80,0.45,0.39,0.32,0.98,0.97,0.92
South Carolina,0.40,0.29,0.21,0.08,0.05,0.04,0.91,0.92,0.93
South Dakota,0.06,0.03,0.02,0.02,0.01,0.01,0.68,0.74,0.76
Tennessee,0.27,0.18,0.13,0.04,0.03,0.02,0.88,0.90,0.90
Texas,0.37,0.30,0.24,0.15,0.11,0.09,0.80,0.79,0.80
Utah,0.56,0.40,0.20,0.16,0.10,0.04,0.94,0.93,0.97
Vermont,0.99,0.96,0.88,0.05,0.04,0.03,0.98,0.97,0.96
Virginia,0.66,0.59,0.52,0.10,0.08,0.06,0.94,0.94,0.94
Washington,0.76,0.69,0.61,0.55,0.49,0.39,0.96,0.96,0.96
West Virginia,0.42,0.36,0.32,0.04,0.03,0.02,0.94,0.94,0.93
Wisconsin,0.28,0.21,0.17,0.10,0.08,0.06,0.88,0.88,0.87
Wyoming,0.36,0.25,0.17,0.12,0.08,0.05,0.90,0.88,0.87
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
