GEOID,Vehicles
01001,40857
01003,162298
01005,15092
01007,13742
01009,43545
01011,5274
01013,12318
01015,81697
01017,24689
01019,19162
01021,32688
01023,9923
01025,14835
01027,10744
01029,10822
01031,38934
01033,42660
01035,6939
01037,7770
01039,25756
01041,8260
01043,65659
01045,35500
01047,23126
01049,49939
01051,62492
01053,21438
01055,71707
01057,11381
01059,20886
01061,19305
01063,4095
01065,8736
01067,12057
01069,71711
01071,38805
01073,458608
01075,9938
01077,70866
01079,24976
01081,117310
01083,76674
01085,6233
01087,11977
01089,287644
01091,11595
01093,21488
01095,68410
01097,277480
01099,12649
01101,149064
01103,90715
01105,4387
01107,13185
01109,19785
01111,16859
01113,39508
01115,67634
01117,163523
01119,8391
01121,58115
01123,30664
01125,145569
01127,47234
01129,10849
01131,6016
01133,18330
02013,1149
02016,1427
02020,189696
02050,2721
02060,526
02063,4320
02066,1917
02068,1058
02070,1399
02090,65279
02100,1397
02105,960
02110,21547
02122,41874
02130,9031
02150,7546
02158,232
02164,270
02170,77929
02180,1789
02185,1925
02188,799
02195,1892
02198,3769
02220,5279
02230,677
02240,3868
02275,1337
02282,356
02290,1465
04001,31007
04003,90696
04005,94115
04007,39557
04009,23501
04011,6999
04012,14766
04013,2879933
04015,168019
04017,63226
04019,699323
04021,266255
04023,31524
04025,191447
04027,128580
05001,11315
05003,12363
05005,33405
05007,194559
05009,28192
05011,6170
05013,3016
05015,21897
05017,5821
05019,14619
05021,10621
05023,20321
05025,5370
05027,14431
05029,15112
05031,73136
05033,42425
05035,29320
05037,10757
05039,3692
05041,7393
05043,12445
05045,87077
05047,12219
05049,8908
05051,72690
05053,13248
05055,31848
05057,13876
05059,22178
05061,9828
05063,26675
05065,8761
05067,10406
05069,40669
05071,18125
05073,4305
05075,11411
05077,3985
05079,6268
05081,9351
05083,15295
05085,52214
05087,12143
05089,12849
05091,27692
05093,25647
05095,4223
05097,6970
05099,5492
05101,5524
05103,14651
05105,7260
05107,9345
05109,7986
05111,14946
05113,14620
05115,42514
05117,6229
05119,271410
05121,13265
05123,12915
05125,90368
05127,7312
05129,5671
05131,89338
05133,10603
05135,12532
05137,8592
05139,26206
05141,12425
05143,165355
05145,52427
05147,4349
05149,14163
06001,1000194
06003,872
06005,30469
06007,157436
06009,36116
06011,14274
06013,778472
06015,16703
06017,151821
06019,562687
06021,19179
06023,94179
06025,82813
06027,14203
06029,501330
06031,81052
06033,49841
06035,17294
06037,5771313
06039,88412
06041,187817
06043,14535
06045,61368
06047,155102
06049,6441
06051,10099
06053,252969
06055,93848
06057,79424
06059,2030558
06061,293229
06063,15999
06065,1468801
06067,1005109
06069,42464
06071,1291888
06073,2105675
06075,377246
06077,461965
06079,207469
06081,492829
06083,273174
06085,1213663
06087,186753
06089,132055
06091,2321
06093,34693
06095,304390
06097,360562
06099,337777
06101,63700
06103,45707
06105,9690
06107,266750
06109,44734
06111,542487
06113,136431
06115,50642
08001,346390
08003,11100
08005,452258
08007,11531
08009,3088
08011,3069
08013,237794
08014,55612
08015,16584
08017,1470
08019,9202
08021,6059
08023,2779
08025,2346
08027,4238
08029,24341
08031,481770
08033,2439
08035,261679
08037,38487
08039,22577
08041,513616
08043,33899
08045,44375
08047,5590
08049,11650
08051,13573
08053,841
08055,5027
08057,1282
08059,455036
08061,1217
08063,5781
08065,5523
08067,43686
08069,281898
08071,11285
08073,3461
08075,14794
08077,114726
08079,790
08081,9819
08083,20729
08085,33152
08087,20366
08089,13980
08091,4441
08093,15665
08095,3152
08097,13213
08099,8151
08101,119393
08103,4933
08105,9027
08107,19260
08109,5460
08111,582
08113,5988
08115,1950
08117,21655
08119,21921
08121,4080
08123,229789
08125,7847
09001,615570
09003,587820
09005,137811
09007,124950
09009,543731
09011,195015
09013,108096
09015,82369
10001,118473
10003,369201
10005,178118
11001,270340
12001,167043
12003,16675
12005,128682
12007,16047
12009,415987
12011,1186578
12013,8251
12015,137179
12017,112427
12019,148531
12021,252630
12023,44804
12027,19409
12029,11229
12031,623483
12033,205981
12035,79381
12037,7448
12039,26490
12041,11971
12043,7560
12045,9926
12047,7281
12049,14132
12051,22450
12053,132247
12055,68210
12057,910624
12059,12226
12061,104019
12063,29494
12065,9768
12067,4217
12069,256086
12071,486332
12073,195448
12075,30869
12077,4085
12079,10801
12081,258721
12083,249766
12085,109305
12086,1496608
12087,53586
12089,66857
12091,147286
12093,26100
12095,817219
12097,197811
12099,942373
12101,362244
12103,637940
12105,426990
12107,48840
12109,177041
12111,207634
12113,130955
12115,313346
12117,324591
12119,86240
12121,26533
12123,12795
12125,7460
12127,380700
12129,22402
12131,55969
12133,16242
13001,11591
13003,5200
13005,7164
13007,2230
13009,28891
13011,13556
13013,55644
13015,73970
13017,10292
13019,11748
13021,92336
13023,7884
13025,11681
13027,11064
13029,30071
13031,52421
13033,15573
13035,17284
13037,2630
13039,36008
13043,6932
13045,83488
13047,48797
13049,7406
13051,193388
13053,4492
13055,16995
13057,189514
13059,87871
13061,2042
13063,173121
13065,4463
13067,532716
13069,26449
13071,28074
13073,93094
13075,11126
13077,106322
13079,8440
13081,12622
13083,11940
13085,20098
13087,17762
13089,456429
13091,11843
13093,6351
13095,51651
13097,95507
13099,6922
13101,2747
13103,44671
13105,13421
13107,13994
13109,6512
13111,21259
13113,86180
13115,64235
13117,168822
13119,16808
13121,672672
13123,24180
13125,2006
13127,58113
13129,37221
13131,17187
13133,13311
13135,597443
13137,29563
13139,129001
13141,4683
13143,22554
13145,26033
13147,19544
13149,8140
13151,157196
13153,111922
13155,6526
13157,51628
13159,11020
13161,9073
13163,9861
13165,6118
13167,5898
13169,21760
13171,13246
13173,6418
13175,29315
13177,23259
13179,38548
13181,5314
13183,9722
13185,71934
13187,22979
13189,15523
13191,8797
13193,6203
13195,21320
13197,5395
13199,14313
13201,4328
13205,12853
13207,20996
13209,5228
13211,14952
13213,28736
13215,124575
13217,77303
13219,30726
13221,10824
13223,112500
13225,18001
13227,25832
13229,13591
13231,13529
13233,28901
13235,5217
13237,17790
13239,1401
13241,12332
13243,3390
13245,115061
13247,60274
13249,3048
13251,8945
13253,6165
13255,46021
13257,19729
13259,2690
13261,18030
13263,4478
13265,1099
13267,13630
13269,5081
13271,4914
13273,5691
13275,31675
13277,25090
13279,16603
13281,10096
13283,3788
13285,43432
13287,5707
13289,5167
13291,18736
13293,17962
13295,48883
13297,68850
13299,20081
13301,3181
13303,12444
13305,18861
13307,1717
13309,2326
13311,20236
13313,65021
13315,4096
13317,7037
13319,5589
13321,14789
15001,132324
15003,558217
15005,32
15007,44712
15009,101170
16001,352444
16003,3577
16005,62163
16007,4917
16009,7160
16011,33168
16013,16988
16015,6915
16017,38003
16019,83603
16021,9690
16023,1943
16025,726
16027,156660
16029,5540
16031,17254
16033,562
16035,7058
16037,3944
16039,20275
16041,10657
16043,9463
16045,14513
16047,10899
16049,13523
16051,21667
16053,17026
16055,129158
16057,29442
16059,7093
16061,3037
16063,3907
16065,22441
16067,15260
16069,32670
16071,4092
16073,8951
16075,19146
16077,5866
16079,10298
16081,8579
16083,63965
16085,7515
16087,7989
17001,48411
17003,2860
